occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
751528,80408,Chione cancellata,Late Pleistocene,,0.129,0.0117,282.599998,18.466667,Late Pleistocene
753419,80676,Chione cancellata,Middle Pleistocene,,0.774,0.129,285.48333,24.033333,Chibanian
753489,80677,Chione cancellata,Late Pleistocene,,0.129,0.0117,285.48333,24.033333,Late Pleistocene
753544,80680,Chione cancellata,Late Pleistocene,,0.129,0.0117,285.48333,24.033333,Late Pleistocene
754976,80837,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.75,19.333332,Late Pleistocene
755190,80853,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.75,19.333332,Late Pleistocene
755242,80854,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.75,19.333332,Late Pleistocene
765878,81751,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,287.68,40.98,Late Pleistocene
765879,81751,Anomia simplex,Late Pleistocene,,0.129,0.0117,287.68,40.98,Late Pleistocene
765881,81751,Crassostrea virginica,Late Pleistocene,,0.129,0.0117,287.68,40.98,Late Pleistocene
765885,81751,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,287.68,40.98,Late Pleistocene
765917,81763,Hiatella arctica,Late Pleistocene,,0.129,0.0117,285.265556,45.299721,Late Pleistocene
765918,81769,Hiatella arctica,Late Pleistocene,,0.129,0.0117,285.290558,45.253613,Late Pleistocene
829362,91458,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829363,91459,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829366,91459,Ensis directus,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829369,91461,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829370,91462,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829371,91462,Ensis directus,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829374,91463,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.125275,35.05722,Chibanian
829459,91488,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.051666,34.983891,Chibanian
829461,91489,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,283.164719,34.980831,Chibanian
832858,92404,Crassostrea virginica,Late Pleistocene,,0.129,0.0117,280.349167,32.873333,Late Pleistocene
