occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
727681,78271,Crassinella lunulata,Late Pliocene,,3.6,2.58,283.495277,37.245834,Pliocene
727737,78270,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727783,78269,Nucula (Nucula) proxima,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727784,78269,Nuculana acuta,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727799,78269,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727803,78269,Crassinella lunulata,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727854,78267,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727858,78267,Crassinella lunulata,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727869,78267,Nucula (Nucula) proxima,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727870,78267,Glycymeris americana,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727902,78266,Hiatella arctica,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727917,78266,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727959,78265,Nucula (Nucula) proxima,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727965,78265,Hiatella arctica,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727977,78265,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
727981,78265,Crassinella lunulata,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
728030,78261,Hiatella arctica,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
728065,78262,Nuculana acuta,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
728069,78262,Hiatella arctica,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
728081,78262,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
728117,78264,Hiatella arctica,Late Pliocene,,3.6,2.58,283.49028,37.233891,Pliocene
737382,68979,Plicatula gibbosa,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
737472,79246,Hiatella arctica,Late Pliocene,,3.6,2.58,283.306389,37.20639,Pliocene
737491,79245,Chione cancellata,Late Pliocene,,3.6,2.58,283.423332,37.017502,Pliocene
738130,79331,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738133,79331,Nuculana acuta,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738155,79335,Crassostrea virginica,Early Pleistocene,,2.58,0.774,278.561668,26.761667,Calabrian
738220,79331,Crassinella lunulata,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738300,79331,Chione cancellata,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738347,79331,Abra aequalis,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738354,79331,Mulinia lateralis,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738367,79331,Hiatella arctica,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
738401,79342,Ensis directus,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738405,79342,Glycymeris americana,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738408,79342,Nucula (Nucula) proxima,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738411,79342,Plicatula gibbosa,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738412,79342,Nuculana acuta,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738422,79342,Crassinella lunulata,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738431,79343,Ensis directus,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738435,79343,Glycymeris americana,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738447,79343,Plicatula gibbosa,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738452,79343,Nuculana acuta,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738467,79341,Glycymeris americana,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738475,79341,Nuculana acuta,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738479,79341,Ensis directus,Late Pliocene,,3.6,2.58,281.945831,34.896667,Pliocene
738488,79339,Glycymeris americana,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738500,79339,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738512,79339,Ensis directus,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738513,79339,Anomia simplex,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738516,79339,Crassinella lunulata,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738519,79340,Glycymeris americana,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738526,79340,Ensis directus,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
738535,79340,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
741355,79707,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741359,79706,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741360,79705,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741373,79705,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741377,79707,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741383,79707,Ensis directus,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741400,79706,Ensis directus,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741406,79705,Ensis directus,Late Pleistocene,,0.129,0.0117,279.769447,32.693611,Late Pleistocene
741416,79708,Plicatula gibbosa,Late Pliocene,,3.6,2.58,278.561668,26.761667,Pliocene
741418,79708,Anadara (Larkinia) transversa,Late Pliocene,,3.6,2.58,278.561668,26.761667,Pliocene
741422,79708,Glycymeris americana,Late Pliocene,,3.6,2.58,278.561668,26.761667,Pliocene
741429,79708,Crassostrea virginica,Late Pliocene,,3.6,2.58,278.561668,26.761667,Pliocene
741760,79731,Chione cancellata,Late Pleistocene,,0.129,0.0117,279.918335,26.976944,Late Pleistocene
741761,79731,Crassostrea virginica,Late Pleistocene,,0.129,0.0117,279.918335,26.976944,Late Pleistocene
741765,79731,Glycymeris americana,Late Pleistocene,,0.129,0.0117,279.918335,26.976944,Late Pleistocene
741993,79748,Mulinia lateralis,Early Pleistocene,,2.58,0.774,279.193336,27.529444,Calabrian
742547,35031,Glycymeris americana,Middle Pleistocene,,0.774,0.129,279.291946,26.375834,Chibanian
743053,79797,Anomia simplex,Late Pliocene,,3.6,2.58,278.483612,26.73361,Pliocene
745319,79789,Chione cancellata,Early Pleistocene,,2.58,0.774,278.544167,26.758888,Calabrian
745383,79788,Mulinia lateralis,Early Pleistocene,,2.58,0.774,278.010002,26.920279,Calabrian
745386,79788,Chione cancellata,Early Pleistocene,,2.58,0.774,278.010002,26.920279,Calabrian
745411,79788,Crassinella lunulata,Early Pleistocene,,2.58,0.774,278.010002,26.920279,Calabrian
745412,79788,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,278.010002,26.920279,Calabrian
745420,69040,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.561668,26.761667,Late Pleistocene
745432,69040,Anomia simplex,Late Pleistocene,,0.129,0.0117,278.561668,26.761667,Late Pleistocene
745436,69038,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.695274,26.803333,Late Pleistocene
745455,69040,Ensis directus,Late Pleistocene,,0.129,0.0117,278.561668,26.761667,Late Pleistocene
745461,79956,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745464,79956,Glycymeris americana,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745469,79956,Abra aequalis,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745470,79956,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745480,79956,Ensis directus,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745485,79957,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745489,79957,Abra aequalis,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745494,79957,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745499,79957,Crassinella lunulata,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745501,79957,Anomia simplex,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
745502,79957,Ensis directus,Late Pleistocene,,0.129,0.0117,281.113335,33.689167,Late Pleistocene
747003,80002,Chione cancellata,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
747023,80001,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.833611,26.958611,Late Pleistocene
747252,69084,Anomia simplex,Late Pleistocene,,0.129,0.0117,279.90583,26.934168,Late Pleistocene
747261,80027,Chione cancellata,Late Pleistocene,,0.129,0.0117,279.90583,26.934168,Late Pleistocene
747275,80027,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,279.90583,26.934168,Late Pleistocene
747289,69044,Plicatula gibbosa,Late Pliocene,,3.6,2.58,279.69194,25.666945,Pliocene
747319,69029,Chione cancellata,Early Pleistocene,,2.58,0.774,279.066391,26.754168,Calabrian
747322,69029,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,279.066391,26.754168,Calabrian
747331,69029,Mya (Arenomya) arenaria,Early Pleistocene,,2.58,0.774,279.066391,26.754168,Calabrian
747370,80028,Astarte montagui,Late Pleistocene,,0.129,0.0117,290.224724,44.23,Late Pleistocene
747374,80028,Mytilus edulis,Late Pleistocene,,0.129,0.0117,290.224724,44.23,Late Pleistocene
747375,80028,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,290.224724,44.23,Late Pleistocene
747420,79786,Chione cancellata,Early Pleistocene,,2.58,0.774,277.95472,26.929722,Calabrian
747456,79786,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,277.95472,26.929722,Calabrian
747464,79786,Mulinia lateralis,Early Pleistocene,,2.58,0.774,277.95472,26.929722,Calabrian
747470,79787,Chione cancellata,Early Pleistocene,,2.58,0.774,278.005554,26.964443,Calabrian
747500,79787,Nuculana acuta,Early Pleistocene,,2.58,0.774,278.005554,26.964443,Calabrian
747504,79787,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,278.005554,26.964443,Calabrian
747505,79787,Mulinia lateralis,Early Pleistocene,,2.58,0.774,278.005554,26.964443,Calabrian
